Latitude,Longitude,Time
39.96095,116.349811,2025-06-28 03:21:59+00:00
39.960963,116.349808,2025-06-28 03:22:29+00:00
39.960937,116.34997,2025-06-28 03:22:59+00:00
39.960949,116.350968,2025-06-28 03:23:29+00:00
39.962085,116.350995,2025-06-28 03:23:59+00:00
39.963285,116.35085,2025-06-28 03:24:29+00:00
39.963671,116.351321,2025-06-28 03:24:59+00:00
39.963761,116.353836,2025-06-28 03:25:29+00:00
39.96404,116.354477,2025-06-28 03:25:59+00:00
39.962554,116.354761,2025-06-28 03:31:09+00:00
39.961093,116.354712,2025-06-28 03:31:39+00:00
39.961016,116.353069,2025-06-28 03:32:09+00:00
39.961607,116.352554,2025-06-28 03:32:39+00:00
39.962473,116.352056,2025-06-28 03:38:21+00:00
39.962912,116.350964,2025-06-28 03:38:51+00:00
39.963259,116.350528,2025-06-28 03:39:21+00:00
39.963087,116.349674,2025-06-28 04:56:37+00:00
39.963183,116.35013,2025-06-28 04:57:37+00:00
39.963358,116.349378,2025-06-28 05:07:07+00:00
39.96322,116.349888,2025-06-28 05:08:37+00:00
39.963291,116.349368,2025-06-28 05:10:37+00:00
39.963234,116.350147,2025-06-28 05:19:07+00:00
39.96323,116.349487,2025-06-28 05:19:38+00:00
39.963237,116.350176,2025-06-28 05:20:38+00:00
39.9632,116.349689,2025-06-28 05:21:09+00:00
39.963218,116.350159,2025-06-28 05:24:09+00:00
39.963226,116.349361,2025-06-28 05:49:11+00:00
39.963259,116.350143,2025-06-28 05:50:41+00:00
39.963242,116.34947,2025-06-28 05:51:11+00:00
39.963199,116.350176,2025-06-28 05:53:11+00:00
39.963264,116.349439,2025-06-28 05:54:41+00:00
39.963295,116.34896,2025-06-28 06:03:43+00:00
39.963241,116.349725,2025-06-28 06:07:43+00:00
39.963272,116.349112,2025-06-28 06:09:03+00:00
39.963242,116.349987,2025-06-28 06:09:43+00:00
39.962974,116.349606,2025-06-28 06:22:01+00:00
39.963224,116.350182,2025-06-28 06:24:24+00:00
39.963266,116.349335,2025-06-28 06:28:42+00:00
39.963243,116.350274,2025-06-28 06:28:52+00:00
39.963316,116.349183,2025-06-28 06:29:23+00:00
39.963309,116.350228,2025-06-28 06:32:23+00:00
39.963208,116.350522,2025-06-28 06:34:54+00:00
39.962403,116.350952,2025-06-28 06:35:24+00:00
39.961036,116.351068,2025-06-28 06:35:54+00:00
39.960407,116.350727,2025-06-28 06:36:24+00:00
39.960482,116.350188,2025-06-28 06:37:24+00:00
39.960813,116.351052,2025-06-28 09:24:22+00:00
39.960952,116.352128,2025-06-28 09:24:52+00:00
39.961551,116.352508,2025-06-28 09:25:22+00:00
39.962465,116.351659,2025-06-28 09:28:39+00:00
39.963181,116.350902,2025-06-28 09:29:09+00:00
39.963627,116.350898,2025-06-28 09:29:39+00:00
39.963635,116.351844,2025-06-28 09:30:09+00:00
39.963762,116.354479,2025-06-28 09:30:39+00:00
39.963693,116.351644,2025-06-28 09:32:35+00:00
39.963614,116.350838,2025-06-28 09:33:05+00:00
39.963582,116.350857,2025-06-28 09:33:21+00:00
39.963097,116.350089,2025-06-28 09:34:05+00:00
39.963162,116.350014,2025-06-28 09:35:58+00:00
39.962392,116.351172,2025-06-28 11:19:01+00:00
39.962524,116.351782,2025-06-28 11:19:31+00:00
39.962492,116.351047,2025-06-28 11:20:31+00:00
39.960958,116.351004,2025-06-28 11:21:01+00:00
39.960406,116.350223,2025-06-28 11:21:31+00:00
39.960695,116.351062,2025-06-28 12:03:35+00:00
39.962196,116.351043,2025-06-28 12:04:05+00:00
39.962783,116.351366,2025-06-28 12:04:35+00:00
39.962169,116.352417,2025-06-28 12:05:35+00:00
39.961063,116.352381,2025-06-28 12:06:05+00:00
39.960947,116.353611,2025-06-28 12:06:35+00:00
39.960958,116.354627,2025-06-28 12:07:05+00:00
39.960194,116.354779,2025-06-28 12:07:35+00:00
39.959366,116.354916,2025-06-28 12:08:05+00:00
39.958354,116.354948,2025-06-28 12:08:35+00:00
39.956797,116.355014,2025-06-28 12:09:05+00:00
39.956506,116.355964,2025-06-28 12:09:35+00:00
39.956502,116.357603,2025-06-28 12:10:05+00:00
39.956476,116.3593,2025-06-28 12:10:35+00:00
39.956471,116.360463,2025-06-28 12:11:05+00:00
39.956842,116.360291,2025-06-28 12:12:05+00:00
39.957244,116.360485,2025-06-28 12:13:35+00:00
39.95779,116.360411,2025-06-28 12:14:35+00:00
39.957974,116.359638,2025-06-28 12:15:35+00:00
39.957998,116.359121,2025-06-28 12:16:05+00:00
39.958033,116.358062,2025-06-28 12:17:05+00:00
39.958113,116.357592,2025-06-28 12:17:35+00:00
39.958096,116.358171,2025-06-28 12:20:06+00:00
39.958453,116.358,2025-06-28 12:21:07+00:00
39.958798,116.357766,2025-06-28 12:21:37+00:00
39.958632,116.35841,2025-06-28 12:43:21+00:00
39.957943,116.358162,2025-06-28 13:45:35+00:00
39.957994,116.358287,2025-06-28 13:45:49+00:00
39.957859,116.358864,2025-06-28 13:46:20+00:00
39.957895,116.35924,2025-06-28 13:46:50+00:00
39.957892,116.359621,2025-06-28 13:47:20+00:00
39.957897,116.360018,2025-06-28 13:47:50+00:00
39.95784,116.360423,2025-06-28 13:48:20+00:00
39.957524,116.360419,2025-06-28 13:48:50+00:00
39.957216,116.360417,2025-06-28 13:49:20+00:00
39.95686,116.360432,2025-06-28 13:49:50+00:00
39.956758,116.360226,2025-06-28 13:50:20+00:00
39.956706,116.358725,2025-06-28 13:51:20+00:00
39.95672,116.356057,2025-06-28 13:51:50+00:00
39.957994,116.355146,2025-06-28 13:52:20+00:00
39.960572,116.355046,2025-06-28 13:52:50+00:00
39.961033,116.354212,2025-06-28 13:53:20+00:00
39.960994,116.35262,2025-06-28 13:53:50+00:00
39.962438,116.352447,2025-06-28 13:54:20+00:00
39.962595,116.351355,2025-06-28 13:54:50+00:00
39.9628,116.351454,2025-06-28 13:55:20+00:00
39.962753,116.350632,2025-06-28 14:08:00+00:00
39.962741,116.351378,2025-06-28 14:08:31+00:00
39.96202,116.350853,2025-06-28 14:09:31+00:00
39.962093,116.35032,2025-06-28 14:10:51+00:00
39.962035,116.350213,2025-06-28 14:12:25+00:00
39.961621,116.350456,2025-06-28 14:13:54+00:00
39.962032,116.350257,2025-06-28 14:14:04+00:00
39.962507,116.350093,2025-06-28 14:15:35+00:00
39.963154,116.350107,2025-06-28 14:16:05+00:00
39.963157,116.350059,2025-06-28 14:16:35+00:00
39.963111,116.349548,2025-06-28 14:17:35+00:00
39.963512,116.350267,2025-06-28 14:18:05+00:00
39.963256,116.349253,2025-06-28 14:25:11+00:00
39.963232,116.350232,2025-06-28 14:28:50+00:00
39.96326,116.349566,2025-06-28 15:50:36+00:00
39.963237,116.350237,2025-06-28 15:53:07+00:00
39.963303,116.349265,2025-06-28 15:58:59+00:00
39.963231,116.350209,2025-06-28 15:59:34+00:00
39.963206,116.349551,2025-06-28 16:29:40+00:00
39.9633,116.349449,2025-06-28 16:37:41+00:00
39.963286,116.35007,2025-06-28 16:44:11+00:00
39.963307,116.349415,2025-06-28 16:46:11+00:00
39.96312,116.34982,2025-06-28 17:02:41+00:00
39.963239,116.350272,2025-06-28 19:49:46+00:00
39.963243,116.350172,2025-06-28 19:58:46+00:00
39.963551,116.349987,2025-06-28 23:16:12+00:00
39.962537,116.35007,2025-06-28 23:18:21+00:00
39.962795,116.350031,2025-06-28 23:30:59+00:00
39.962432,116.35163,2025-06-28 23:31:29+00:00
39.962501,116.350902,2025-06-28 23:32:59+00:00
39.962427,116.350962,2025-06-28 23:33:29+00:00
39.963256,116.350899,2025-06-28 23:34:29+00:00
39.96361,116.351525,2025-06-28 23:34:59+00:00
39.963694,116.354687,2025-06-28 23:35:29+00:00
39.965779,116.354857,2025-06-28 23:35:59+00:00
39.966083,116.357796,2025-06-28 23:36:29+00:00
39.966058,116.3608,2025-06-28 23:36:59+00:00
39.966071,116.362764,2025-06-28 23:37:29+00:00
39.966145,116.363871,2025-06-28 23:37:59+00:00
39.966251,116.366884,2025-06-28 23:38:29+00:00
39.966423,116.370563,2025-06-28 23:38:59+00:00
39.966575,116.374771,2025-06-28 23:39:31+00:00
39.966621,116.378067,2025-06-28 23:40:01+00:00
